candidate_id,rank,score,reasoning
CAND_0061257,1,5.870390,"Staff Machine Learning Engineer, 8.0y: career history shows hands-on retrieval/search and ranking work — aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Vector Representations; recently active, 87% recruiter response"
CAND_0018499,2,5.856446,"Senior Machine Learning Engineer, 7.2y: career history shows hands-on retrieval/search and ranking work — matches the JD's preference for hands-on ML systems over pure research. expert in Recommendation Systems; recently active, 61% recruiter response"
CAND_0006567,3,5.853222,"Senior AI Engineer, 7.9y: career history shows hands-on retrieval/search and ranking work — aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. advanced in NLP; recently active, 79% recruiter response"
CAND_0046525,4,5.851704,"Senior Machine Learning Engineer, 6.1y: career history shows hands-on retrieval/search and embeddings work — directly matches the JD's need for production retrieval and ranking systems. advanced in pgvector; recently active, 88% recruiter response"
CAND_0011687,5,5.847583,"Senior NLP Engineer, 7.8y: career history shows hands-on retrieval/search and ranking work — aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. advanced in Semantic Search; recently active, 89% recruiter response"
CAND_0052328,6,5.830976,"Recommendation Systems Engineer, 6.5y: career history shows hands-on retrieval/search and embeddings work — maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in QLoRA; active ~2mo ago, 79% recruiter response"
CAND_0081846,7,5.830745,"Lead AI Engineer, 6.7y: career history shows hands-on retrieval/search and ranking work — fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Information Retrieval; recently active, 73% recruiter response"
CAND_0068811,8,5.829806,"Applied ML Engineer, 8.0y: career history shows hands-on recommendation & matching and embeddings work — fits the JD's 'built search/ranking/recsys at a product company' profile. advanced in Weaviate; recently active, 42% recruiter response"
CAND_0041669,9,5.829115,"Recommendation Systems Engineer, 8.0y: career history shows hands-on retrieval/search and ranking work — matches the JD's preference for hands-on ML systems over pure research. advanced in Weaviate; recently active, 77% recruiter response"
CAND_0027691,10,5.825017,"NLP Engineer, 6.5y: career history shows hands-on retrieval/search and embeddings work — fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Recommendation Systems; active ~2mo ago, 68% recruiter response"
CAND_0071974,11,5.819328,"Senior AI Engineer, 7.8y with demonstrated retrieval/search and ranking experience; matches the JD's preference for hands-on ML systems over pure research. expert in Qdrant; recently active, 76% recruiter response"
CAND_0091909,12,5.819308,"Machine Learning Engineer, 6.9y with demonstrated recommendation & matching and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. advanced in Qdrant; active ~2mo ago, 65% recruiter response"
CAND_0052682,13,5.818916,"NLP Engineer, 6.6y with demonstrated recommendation & matching and embeddings experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in QLoRA; active ~2mo ago, 88% recruiter response"
CAND_0077337,14,5.816893,"Staff Machine Learning Engineer, 7.0y with demonstrated ranking and recommendation & matching experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in LLMs; recently active, 95% recruiter response"
CAND_0018549,15,5.815483,"Recommendation Systems Engineer, 6.8y with demonstrated recommendation & matching and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. expert in OpenSearch; recently active, 73% recruiter response"
CAND_0050454,16,5.812445,"AI Engineer, 6.8y with demonstrated retrieval/search and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. advanced in Qdrant; recently active, 77% recruiter response"
CAND_0068351,17,5.810864,"Lead AI Engineer, 6.4y with demonstrated retrieval/search and ranking experience; fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Deep Learning; concern: not currently marked open to work"
CAND_0075249,18,5.810138,"Applied ML Engineer, 6.2y with demonstrated recommendation & matching and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. expert in Pinecone; recently active, 82% recruiter response"
CAND_0088025,19,5.810013,"Staff Machine Learning Engineer, 8.6y with demonstrated retrieval/search and ranking experience; directly matches the JD's need for production retrieval and ranking systems. expert in Elasticsearch; recently active, 83% recruiter response"
CAND_0064326,20,5.809508,"Search Engineer, 7.6y with demonstrated retrieval/search and ranking experience; fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Deep Learning; recently active, 94% recruiter response"
CAND_0078002,21,5.809094,"Machine Learning Engineer, 6.3y with demonstrated recommendation & matching and embeddings experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in QLoRA; recently active, 86% recruiter response"
CAND_0002025,22,5.808191,"Senior AI Engineer, 5.9y with demonstrated ranking and recommendation & matching experience; directly matches the JD's need for production retrieval and ranking systems. expert in Deep Learning; recently active, 80% recruiter response"
CAND_0040117,23,5.808079,"Recommendation Systems Engineer, 6.5y with demonstrated recommendation & matching and embeddings experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Embeddings; active ~2mo ago, 66% recruiter response"
CAND_0079387,24,5.807480,"AI Engineer, 6.9y with demonstrated recommendation & matching and embeddings experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Sentence Transformers; recently active, 81% recruiter response"
CAND_0046064,25,5.806992,"Senior NLP Engineer, 8.9y with demonstrated retrieval/search and ranking experience; matches the JD's preference for hands-on ML systems over pure research. advanced in Deep Learning; recently active, 78% recruiter response"
CAND_0008425,26,5.806512,"Senior NLP Engineer, 7.8y with demonstrated retrieval/search and embeddings experience; directly matches the JD's need for production retrieval and ranking systems. expert in Information Retrieval; recently active, 66% recruiter response"
CAND_0093193,27,5.806282,"Senior Machine Learning Engineer, 7.9y with demonstrated retrieval/search and recommendation & matching experience; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in Qdrant; recently active, 61% recruiter response"
